admin.level,admin.pcode,admin.name,maize_price_per_unit,sorghum_price_per_unit,teff_price_per_unit,wheat_price_per_unit,barley_price_per_unit,enset_price_per_unit,rice_price_per_unit,beef_price_per_unit,mutton_price_per_unit,goat_meat_price_per_unit,vegetables_leafy_darkgreen_price_per_unit,cooking_oil_price_per_unit,bath_soap_price_per_unit,bleach_price_per_unit,water_price_per_unit,water_5km_price_per_unit,water_10km_price_per_unit,maize_price_per_unit.USD,sorghum_price_per_unit.USD,teff_price_per_unit.USD,wheat_price_per_unit.USD,barley_price_per_unit.USD,enset_price_per_unit.USD,rice_price_per_unit.USD,beef_price_per_unit.USD,mutton_price_per_unit.USD,goat_meat_price_per_unit.USD,vegetables_leafy_darkgreen_price_per_unit.USD,cooking_oil_price_per_unit.USD,bath_soap_price_per_unit.USD,bleach_price_per_unit.USD,water_price_per_unit.USD,water_5km_price_per_unit.USD,water_10km_price_per_unit.USD
Nation,ET,NA,13.27,16.6,41.5,22.75,20,40,30,280,290,290,35,68,12,15,0.38,0.08,0.1,0.35,0.44,1.09,0.6,0.53,1.05,0.79,7.38,7.65,7.65,0.92,1.79,0.32,0.4,0.01,0,0
Region,ET03,Amhara,11.5,NA,34.25,19.7,NA,NA,NA,NA,NA,NA,20,62.5,11,7,NA,NA,NA,0.3,NA,0.9,0.52,NA,NA,NA,NA,NA,NA,0.53,1.65,0.29,0.18,NA,NA,NA
Region,ET04,Oromia,13,17,43,19.5,NA,NA,NA,265,220,300,50,60,10,20,NA,NA,NA,0.34,0.45,1.13,0.51,NA,NA,NA,6.99,5.8,7.91,1.32,1.58,0.26,0.53,NA,NA,NA
Region,ET05,Somali,15.65,16.2,NA,28.26,NA,NA,30,300,300,250,37.5,70,15,32.5,0.38,0.08,0.1,0.41,0.43,NA,0.75,NA,NA,0.79,7.91,7.91,6.59,0.99,1.85,0.4,0.86,0.01,0,0
Region,ET06,Benishangul Gumz,12.25,13,43,22,NA,NA,NA,210,300,300,30,87.5,12,10,NA,NA,NA,0.32,0.34,1.13,0.58,NA,NA,NA,5.54,7.91,7.91,0.79,2.31,0.32,0.26,NA,NA,NA
Region,ET07,SNNP,10,NA,40,NA,20,40,NA,312.5,310,335,20,63.5,11,10,NA,NA,NA,0.26,NA,1.05,NA,0.53,1.05,NA,8.24,8.17,8.83,0.53,1.67,0.29,0.26,NA,NA,NA
Zone,ET0304,South Wello,11.5,NA,34.25,19.7,NA,NA,NA,NA,NA,NA,20,62.5,11,7,NA,NA,NA,0.3,NA,0.9,0.52,NA,NA,NA,NA,NA,NA,0.53,1.65,0.29,0.18,NA,NA,NA
Zone,ET0409,West Hararge,13,17.5,44,19.75,NA,NA,NA,300,NA,NA,NA,75,15,20,NA,NA,NA,0.34,0.46,1.16,0.52,NA,NA,NA,7.91,NA,NA,NA,1.98,0.4,0.53,NA,NA,NA
Zone,ET0410,East Hararge,14,17,45,17.5,NA,NA,NA,265,200,310,NA,NA,10,NA,NA,NA,NA,0.37,0.45,1.19,0.46,NA,NA,NA,6.99,5.27,8.17,NA,NA,0.26,NA,NA,NA,NA
Zone,ET0412,Borena,12,15,43,22,NA,NA,NA,240,240,240,60,60,10,50,NA,NA,NA,0.32,0.4,1.13,0.58,NA,NA,NA,6.33,6.33,6.33,1.58,1.58,0.26,1.32,NA,NA,NA
Zone,ET0415,West Guji,12.5,NA,39,NA,NA,NA,NA,NA,NA,300,40,60,10,20,NA,NA,NA,0.33,NA,1.03,NA,NA,NA,NA,NA,NA,7.91,1.05,1.58,0.26,0.53,NA,NA,NA
Zone,ET0502,Fafan,18.57,18.26,NA,27.17,NA,NA,27.5,350,312.5,277.5,37.5,70,14.25,31.5,0.38,0.08,0.1,0.49,0.48,NA,0.72,NA,NA,0.73,9.23,8.24,7.32,0.99,1.85,0.38,0.83,0.01,0,0
Zone,ET0507,Doolo,NA,NA,NA,28.75,NA,NA,29,NA,240,240,52.5,64,15,47.5,NA,NA,NA,NA,NA,NA,0.76,NA,NA,0.76,NA,6.33,6.33,1.38,1.69,0.4,1.25,NA,NA,NA
Zone,ET0508,Afder,NA,15.38,NA,NA,NA,NA,45,NA,NA,NA,20,85,17.5,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,1.19,NA,NA,NA,0.53,2.24,0.46,NA,NA,NA,NA
Zone,ET0509,Liban,15,15,NA,22.5,NA,NA,42.5,210,220,240,30,73.5,NA,NA,NA,NA,NA,0.4,0.4,NA,0.59,NA,NA,1.12,5.54,5.8,6.33,0.79,1.94,NA,NA,NA,NA,NA
Zone,ET0511,Daawa,NA,NA,NA,33,NA,NA,40,280,275,300,40,80,25,15,NA,NA,NA,NA,NA,NA,0.87,NA,NA,1.05,7.38,7.25,7.91,1.05,2.11,0.66,0.4,NA,NA,NA
Zone,ET0603,Asosa,12.25,13,43,22,NA,NA,NA,220,300,300,30,85,12,10,NA,NA,NA,0.32,0.34,1.13,0.58,NA,NA,NA,5.8,7.91,7.91,0.79,2.24,0.32,0.26,NA,NA,NA
Zone,ET0605,Mao Komo Special,NA,NA,43,NA,NA,NA,NA,200,NA,NA,NA,90,12,15,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,5.27,NA,NA,NA,2.37,0.32,0.4,NA,NA,NA
Zone,ET0705,Gedeo,12,NA,48,NA,20,40,NA,NA,NA,NA,50,NA,11,5,NA,NA,NA,0.32,NA,1.27,NA,0.53,1.05,NA,NA,NA,NA,1.32,NA,0.29,0.13,NA,NA,NA
Zone,ET0706,Wolayita,10,NA,38,NA,17.5,40,NA,312.5,310,335,16,63.5,11,12,NA,NA,NA,0.26,NA,1,NA,0.46,1.05,NA,8.24,8.17,8.83,0.42,1.67,0.29,0.32,NA,NA,NA
Woreda,ET030409,Dessie Zuria,11.5,NA,35.5,16.4,NA,NA,NA,NA,NA,NA,30,80,12,6,NA,NA,NA,0.3,NA,0.94,0.43,NA,NA,NA,NA,NA,NA,0.79,2.11,0.32,0.16,NA,NA,NA
Woreda,ET030418,Dessie town,NA,NA,33,23,NA,NA,NA,NA,NA,NA,10,45,10,8,NA,NA,NA,NA,NA,0.87,0.61,NA,NA,NA,NA,NA,NA,0.26,1.19,0.26,0.21,NA,NA,NA
Woreda,ET040901,Mieso,13.5,18,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.47,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET040902,Doba,13,17,44,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.45,1.16,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET040903,Tulo (OR),12,17,44,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.45,1.16,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET040905,Chiro town,13.5,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.63,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET040991,Gumbi Bordede,10,NA,40,NA,NA,NA,NA,300,NA,NA,NA,75,15,20,NA,NA,NA,0.26,NA,1.05,NA,NA,NA,NA,7.91,NA,NA,NA,1.98,0.4,0.53,NA,NA,NA
Woreda,ET041001,Kombolcha,NA,NA,NA,NA,NA,NA,NA,250,200,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59,5.27,7.91,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041005,Fedis,13,NA,NA,NA,NA,NA,NA,280,NA,320,NA,NA,10,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,7.38,NA,8.44,NA,NA,0.26,NA,NA,NA,NA
Woreda,ET041006,Haro Maya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041007,Kurfa Chele,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041013,Bedeno,14,18,45,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.47,1.19,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041016,Girawa,14,16,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.42,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041099,Aweday town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET041210,Moyale (OR),12,15,43,22,NA,NA,NA,240,240,240,60,60,10,50,NA,NA,NA,0.32,0.4,1.13,0.58,NA,NA,NA,6.33,6.33,6.33,1.58,1.58,0.26,1.32,NA,NA,NA
Woreda,ET041501,Bule Hora,10,NA,40,NA,NA,NA,NA,NA,NA,300,NA,NA,10,20,NA,NA,NA,0.26,NA,1.05,NA,NA,NA,NA,NA,NA,7.91,NA,NA,0.26,0.53,NA,NA,NA
Woreda,ET041502,Kercha,15,NA,38,NA,NA,NA,NA,NA,NA,NA,40,NA,7,NA,NA,NA,NA,0.4,NA,1,NA,NA,NA,NA,NA,NA,NA,1.05,NA,0.18,NA,NA,NA,NA
Woreda,ET041587,Bule Hora town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0.4,0.53,NA,NA,NA
Woreda,ET050202,Gursum (SM),13.04,17.39,NA,26.09,NA,NA,20,250,300,235,32.5,60,10,NA,0.38,NA,NA,0.34,0.46,NA,0.69,NA,NA,0.53,6.59,7.91,6.2,0.86,1.58,0.26,NA,0.01,NA,NA
Woreda,ET050205,Aw-Bare,20,21.74,NA,34.78,NA,NA,35,350,325,325,37.5,70,NA,28,0.06,0.06,0.08,0.53,0.57,NA,0.92,NA,NA,0.92,9.23,8.57,8.57,0.99,1.85,NA,0.74,0,0,0
Woreda,ET050206,Kebribeyah,21.74,19.13,NA,28.26,NA,NA,25,350,255,255,45,70,NA,35,NA,NA,NA,0.57,0.5,NA,0.75,NA,NA,0.66,9.23,6.72,6.72,1.19,1.85,NA,0.92,NA,NA,NA
Woreda,ET050283,Tuliguled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA
Woreda,ET050293,Jigjiga town,18,16.2,NA,25.87,NA,NA,30,300,325,250,37.5,70,13.5,35,0.85,1,2,0.47,0.43,NA,0.68,NA,NA,0.79,7.91,8.57,6.59,0.99,1.85,0.36,0.92,0.02,0.03,0.05
Woreda,ET050295,Wajale town,19.13,19.13,NA,34.78,NA,NA,35,350,350,360,30,65,32.5,15,0.52,0.06,0.1,0.5,0.5,NA,0.92,NA,NA,0.92,9.23,9.23,9.49,0.79,1.71,0.86,0.4,0.01,0,0
Woreda,ET050296,Kebribayah town,15.65,13.04,NA,13.04,NA,NA,15.65,350,300,300,NA,NA,NA,NA,0.09,0.1,0.11,0.41,0.34,NA,0.34,NA,NA,0.41,9.23,7.91,7.91,NA,NA,NA,NA,0,0,0
Woreda,ET050701,Danod,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA
Woreda,ET050702,Bokh,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA
Woreda,ET050703,Galadi,NA,NA,NA,NA,NA,NA,30,NA,240,240,55,70,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,6.33,6.33,1.45,1.85,NA,0.79,NA,NA,NA
Woreda,ET050704,Warder,NA,NA,NA,35,NA,NA,26,NA,NA,NA,NA,63.5,15,47.5,NA,NA,NA,NA,NA,NA,0.92,NA,NA,0.69,NA,NA,NA,NA,1.67,0.4,1.25,NA,NA,NA
Woreda,ET050788,Daratole,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA
Woreda,ET050798,Lehel-Yucub,NA,NA,NA,22.5,NA,NA,26.5,NA,NA,NA,50,64,NA,60,NA,NA,NA,NA,NA,NA,0.59,NA,NA,0.7,NA,NA,NA,1.32,1.69,NA,1.58,NA,NA,NA
Woreda,ET050799,Galhamur,NA,NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA
Woreda,ET050808,Dolobay,NA,15.38,NA,NA,NA,NA,45,NA,NA,NA,20,85,17.5,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,1.19,NA,NA,NA,0.53,2.24,0.46,NA,NA,NA,NA
Woreda,ET050901,Filtu,15,15,NA,15,NA,NA,NA,220,220,240,NA,70,NA,NA,NA,NA,NA,0.4,0.4,NA,0.4,NA,NA,NA,5.8,5.8,6.33,NA,1.85,NA,NA,NA,NA,NA
Woreda,ET050903,Goro Baqaqsa,NA,20,NA,30,NA,NA,45,200,NA,180,40,90,NA,NA,NA,NA,NA,NA,0.53,NA,0.79,NA,NA,1.19,5.27,NA,4.75,1.05,2.37,NA,NA,NA,NA,NA
Woreda,ET050904,Guradamole,15,15,NA,15,NA,NA,40,NA,NA,250,30,75,NA,NA,NA,NA,NA,0.4,0.4,NA,0.4,NA,NA,1.05,NA,NA,6.59,0.79,1.98,NA,NA,NA,NA,NA
Woreda,ET050991,Deka Suftu,15,15,NA,32,NA,NA,NA,NA,NA,240,30,72,NA,NA,NA,NA,NA,0.4,0.4,NA,0.84,NA,NA,NA,NA,NA,6.33,0.79,1.9,NA,NA,NA,NA,NA
Woreda,ET051104,Hudet,NA,NA,NA,33,NA,NA,40,280,275,300,40,80,25,15,NA,NA,NA,NA,NA,NA,0.87,NA,NA,1.05,7.38,7.25,7.91,1.05,2.11,0.66,0.4,NA,NA,NA
Woreda,ET060303,Assosa,12,14,43,20,NA,NA,NA,255,320,320,30,65,10,10,NA,NA,NA,0.32,0.37,1.13,0.53,NA,NA,NA,6.72,8.44,8.44,0.79,1.71,0.26,0.26,NA,NA,NA
Woreda,ET060305,Bambasi,12.5,12,43,24,NA,NA,NA,220,280,280,NA,90,12,10,NA,NA,NA,0.33,0.32,1.13,0.63,NA,NA,NA,5.8,7.38,7.38,NA,2.37,0.32,0.26,NA,NA,NA
Woreda,ET060307,Homosha,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,85,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22,NA,NA,NA,2.24,0.32,0.26,NA,NA,NA
Woreda,ET060508,Maokomo Special,NA,NA,43,NA,NA,NA,NA,200,NA,NA,NA,90,12,15,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,5.27,NA,NA,NA,2.37,0.32,0.4,NA,NA,NA
Woreda,ET070502,Yirgachefe,10,NA,40,NA,NA,40,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,0.26,NA,1.05,NA,NA,1.05,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA
Woreda,ET070503,Kochere,9,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,0.24,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,0.26,0.13,NA,NA,NA
Woreda,ET070506,Gedeb,14,NA,48,NA,20,NA,NA,NA,NA,NA,40,NA,12,NA,NA,NA,NA,0.37,NA,1.27,NA,0.53,NA,NA,NA,NA,NA,1.05,NA,0.32,NA,NA,NA,NA
Woreda,ET070511,Gedeb town,14,NA,48,NA,20,NA,NA,NA,NA,NA,60,NA,12,NA,NA,NA,NA,0.37,NA,1.27,NA,0.53,NA,NA,NA,NA,NA,1.58,NA,0.32,NA,NA,NA,NA
Woreda,ET070512,Yirgachefe town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET070603,Damot Woide,10,NA,40,NA,NA,40,NA,NA,NA,NA,20,60,10,10,NA,NA,NA,0.26,NA,1.05,NA,NA,1.05,NA,NA,NA,NA,0.53,1.58,0.26,0.26,NA,NA,NA
Woreda,ET070604,Humbo,10,NA,35,NA,17.5,NA,NA,305,310,340,10.5,63.5,12,12,NA,NA,NA,0.26,NA,0.92,NA,0.46,NA,NA,8.04,8.17,8.97,0.28,1.67,0.32,0.32,NA,NA,NA
Woreda,ET070616,Tebela town,11,NA,38,NA,NA,NA,NA,320,NA,330,16,65,12,NA,NA,NA,NA,0.29,NA,1,NA,NA,NA,NA,8.44,NA,8.7,0.42,1.71,0.32,NA,NA,NA,NA
Woreda,ET070621,Abela Abaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.38,NA,NA,NA
